ZINC00001408,CCOC(=O)c1cncn1[C@@H](c1ccccc1)C
ZINC00001409,CCc1nc(N)nc(c1c1ccc(c(c1)Cl)Cl)N
ZINC00001427,O=C(c1ccc(cc1)c1ccccc1)CCC(=O)[O-]
ZINC00001436,Clc1cccc(c1)NC(=O)/N=C/1\N=C(CN1C)[O-]
ZINC00001457,OC[C@@H]1O[C@@H](C[C@H]1O)n1cc(F)c(=O)[nH]c1=O
ZINC00001463,Fc1ccc(cc1)C1=C([O-])c2c(C1=O)cccc2
ZINC00001464,CCOC(=O)c1ncn2c1CN(C)C(=O)c1c2ccc(c1)F
ZINC00001504,[O-]C(=O)c1cc(O)c(c(c1)O)O
ZINC00001536,C=CCc1ccc(c(c1)c1ccc(c(c1)CC=C)O)O
ZINC00001553,O=C1CCC(=NN1)c1ccc(cc1)n1cncc1
ZINC00001554,[O-]C(=O)c1ccccc1O
ZINC00001567,O=C(c1ccccc1)NC1CC[NH+](CC1)CCc1c[nH]c2c1cccc2
ZINC00001575,[O-]C(=O)[C@H](Cc1ccc(c(c1)I)O)[NH3+]
ZINC00001582,CSc1c(Cl)nc(nc1N1CC[NH+](CC1)C)NC(C)C
ZINC00001590,NNC(=O)c1ccncc1
ZINC00001600,CCC(=O)C1(CC[NH+](CC1)C)c1cccc(c1)O
ZINC00001601,c1coc(c1)CNc1ncnc2c1nc[nH]2
ZINC00001614,COc1ccc2c(c1)[C@]13CCCC[C@@H]3[C@@H](C2)[NH+](CC1)C
ZINC00001624,O[C@H](c1ccccc1)C[C@@H]1CCC[C@@H]([NH+]1C)CC(=O)c1ccccc1
ZINC00001630,COc1c(OC)c(OC(=O)C)c2c(c1OC(=O)C)ccc(c2)Cl
ZINC00001644,[NH3+]Cc1ccc(cc1)S(=O)(=O)N
ZINC00001655,[O-]C(=O)c1ccccc1Nc1c(Cl)ccc(c1Cl)C
ZINC00001669,[O-]C(=O)CC(CC(=O)[O-])(O)C
ZINC00001677,O=C1C=C(C)C(=O)c2c1cccc2
ZINC00001681,CCOC(=O)C1(CC[NH+](CC1)C)c1ccccc1
ZINC00001723,Nc1nc(C)c(c(n1)N)c1ccc(c(c1)Cl)Cl
ZINC00001732,Clc1ccc2c(c1)C(=NCc1n2c(C)[nH+]c1)c1ccccc1F
ZINC00001758,COc1c(C/C=C(/CCC(=O)[O-])\C)c(O)c2c(c1C)COC2=O
ZINC00001763,NC(=[NH2+])Nc1ccc(cc1)C(=O)Oc1ccc2c(c1)ccc(c2)C(=[NH2+])N
ZINC00001773,O=C1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2[NH+](CC3)CC2CC2)ccc1O)O
ZINC00001792,O=C(N(C)C)Oc1cccc(c1)[N+](C)(C)C
ZINC00001795,[O-]C(=O)c1cccnc1
ZINC00001850,[O-]C(=O)Cc1ccc2c(c1)/C(=C\CC[NH+](C)C)/c1ccccc1CO2
ZINC00001863,[O-]C(=O)CCc1nc(c(o1)c1ccccc1)c1ccccc1
ZINC00001910,Fc1ccc(cc1)C(=O)CCC[NH+]1CCC(CC1)(O)c1ccccc1
ZINC00001931,C[NH+](CCOc1ccccc1Cc1ccccc1)C
ZINC00001963,[O-]C(=O)CSc1nc(cc(n1)Cl)Nc1cccc(c1C)C
ZINC00001965,CCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1
ZINC00001982,CCCN(S(=O)(=O)c1ccc(cc1)C(=O)[O-])CCC
ZINC00001984,Clc1ccc(cc1)C(=O)c1ccc(cc1)OC(C(=O)[O-])(C)C
ZINC00001995,Cc1ccc2c(c1)n(C(C)C)c(=O)nc2c1ccccc1
ZINC00002002,COc1ccc(cc1)CN(c1cccc[nH+]1)CC[NH+](C)C
ZINC00002009,C[n+]1cccc(c1)OC(=O)N(C)C
ZINC00002028,Oc1cccc(c1)O
ZINC00002041,CCC[NH+](CCC)CCc1cccc2c1CC(=O)N2
ZINC00002070,Fc1cc2[C@]3(CCOc2cc1)NC(=O)NC3=O
ZINC00002101,Nc1ccc(cc1)S(=O)(=O)N
ZINC00002110,Nc1ccc(cc1)S(=O)(=O)[N-]c1noc(c1C)C
ZINC00002119,O=S1(=O)CCCCN1c1ccc(cc1)S(=O)(=O)N
ZINC00002131,C1CC[NH+](CC1)C1(CCCCC1)c1cccs1
ZINC00002139,CC[NH+](CCOc1ccc(cc1)Cc1ccccc1)CC
ZINC00002152,OCCc1sc(=O)n(c1C)Cc1cnc(nc1N)C
ZINC00002191,[O-]C(=O)Cc1ccc(n1C)C(=O)c1ccc(cc1)C
ZINC00002200,COc1cccc(c1)[C@]1(O)CCCC[C@H]1C[NH+](C)C
ZINC00002212,Clc1ccc2c(c1)C(=NCc1n2c(C)nn1)c1ccccc1Cl
ZINC00002216,Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl
ZINC00002264,Clc1ccc2c(c1)C(=Cc1c(S2)cccc1)OCC[NH+](C)C
ZINC00002272,[O-]C(=O)[C@@H](c1cccc(c1)C(=O)c1ccccc1)C
ZINC00002275,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1OCC[NH2+]C1
ZINC00002279,[O-]C(=O)[C@@H]1CCn2c1ccc2C(=O)c1ccccc1
ZINC00002281,O[C@@H](c1cc(O)cc(c1)O)C[NH2+]C(C)(C)C
ZINC00002284,CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1OCC[NH2+]C1
ZINC00002365,C[NH+]1CCC=C2[C@H]1CCc1c2nc(s1)N
ZINC00002376,C1CC[NH+](CC1)Cc1ccc(cc1)c1cc2ccccc2c2=[NH+]CCn12
ZINC00002433,Oc1ccc2c(c1)[C@@]13CCCC[C@H]3[C@H](C2)[NH+](CC1)C
ZINC00002675,N
ZINC00002698,Sc1nccn1Cc1cccs1
ZINC00002748,CC[C@]1(Cc2c(O1)cccc2)C1=[NH+]CCN1
ZINC00002775,N
ZINC00002779,O=Cc1cc(O)c(c(c1)[N+](=O)[O-])[O-]
ZINC00002845,Cc1noc(c1)/C=C/c1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C
ZINC00002850,Nc1noc(n1)[C@@H]1C[NH+]2C[C@H]1CC2
ZINC00003106,COc1ccccc1n1c(C)nnc1c1ccc(cc1)c1ccccc1
ZINC00003189,Clc1ccc(cc1Cl)[C@@]12C[NH2+]C[C@H]2C1
ZINC00003275,Nc1c2CCc3c(c2[nH+]c2c1cccc2)cccc3
ZINC00003709,O=C1CCCN(N1)c1ccccc1
ZINC00003711,O[C@H]1CCCc2c1c(N)c1c([nH+]2)cccc1
ZINC00003724,O=C1NC(=O)C2(N1)c1cc(F)ccc1c1c2cc(F)cc1
ZINC00003741,S=c1[nH]ccn1Cc1cscc1
ZINC00003742,CCn1cc(C(=O)[O-])c(=O)c2c1cc(N1CC[NH2+]CC1)c(c2)F
ZINC00003761,[O-]C(=O)CN1C(=S)[C@@H](Oc2c1cccc2C(C)C)C(C)C
ZINC00003767,COc1ccc(cc1)c1c(onc1c1ccc(cc1)OC)CC(=O)[O-]
ZINC00003803,CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N
